Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Assessing semantic interoperability in environmental sciences: variety of approaches and semantic artefacts,Scientific Data,,,,10.1038/s41597-024-03669-3,Cristina Di MuriMartina PulieriDavide RahoAlexandra N. MuresanAndrea TaralloJessica TitocciEnrica NestolaAlberto BassetSabrina MazzoniIlaria Rosati,2024,https://link.springer.com/article/10.1038/s41597-024-03669-3,Article
Suggestions for extending the FAIR Principles based on a linguistic perspective on semantic interoperability,Scientific Data,,,,10.1038/s41597-025-05011-x,Lars VogtPhilip StrömertNicolas MatentzogluNaouel KaramMarcel KonradManuel PrinzRoman Baum,2025,https://link.springer.com/article/10.1038/s41597-025-05011-x,Article
Towards Semantic Interoperability: An Information Model for Autonomous Mobile Robots,Journal of Intelligent & Robotic Systems,,,,10.1007/s10846-024-02159-3,Marvin ZagerChristoph SieberAlexander Fay,2024,https://link.springer.com/article/10.1007/s10846-024-02159-3,Article
A semantic and ontology-based framework for enhancing interoperability and automation in IoT systems,Discover Internet of Things,,,,10.1007/s43926-025-00122-8,Ripal Ranpara,2025,https://link.springer.com/article/10.1007/s43926-025-00122-8,Article
Achieving Seamless Semantic Interoperability and Enhancing Text Embedding in Healthcare IoT: A Deep Learning Approach with Survey,SN Computer Science,,,,10.1007/s42979-023-02392-x,Sony PurushothamanG. Siva ShanmugamSureshkumar Nagarajan,2023,https://link.springer.com/article/10.1007/s42979-023-02392-x,Article
An intuitionistic fuzzy-based intelligent system for semantic interoperability and privacy preservation in healthcare systems,Soft Computing,,,,10.1007/s00500-023-08972-6,P. SonyG. Siva ShanmugamSureshKumar Nagarajan,2023,https://link.springer.com/article/10.1007/s00500-023-08972-6,Article
An Ostensive Information Architecture to Enhance Semantic Interoperability for Healthcare Information Systems,Information Systems Frontiers,,,,10.1007/s10796-023-10379-5,Hua GuoMichael ScrineyKecheng Liu,2023,https://link.springer.com/article/10.1007/s10796-023-10379-5,Article
Semantic interoperability: ontological unpacking of a viral conceptual model,BMC Bioinformatics,,,,10.1186/s12859-022-05022-0,Anna BernasconiGiancarlo GuizzardiOscar PastorVeda C. Storey,2022,https://link.springer.com/article/10.1186/s12859-022-05022-0,Article
Correction to: An Ostensive Information Architecture to Enhance Semantic Interoperability for Healthcare Information Systems,Information Systems Frontiers,,,,10.1007/s10796-023-10387-5,Hua GuoMichael ScrineyKecheng Liu,2023,https://link.springer.com/article/10.1007/s10796-023-10387-5,Article
Big Data and precision agriculture: a novel spatio-temporal semantic IoT data management framework for improved interoperability,Journal of Big Data,,,,10.1186/s40537-023-00729-0,Mario San Emeterio de la ParteJosé-Fernán Martínez-OrtegaVicente Hernández DíazNéstor Lucas Martínez,2023,https://link.springer.com/article/10.1186/s40537-023-00729-0,Article
A Layered Semantic Interoperability Framework for Conflict Resolution of Semantic Models in Smart Devices,Intelligent Systems and Applications,,,,10.1007/978-3-031-66431-1_30,Mohammad Yaser MofattehAmir PirayeshOmid Fatahi Valilai,2024,https://link.springer.com/chapter/10.1007/978-3-031-66431-1_30,Conference paper
Semantic Mediation Method Based on Natural Language Processing for Interoperability of Heterogeneous Software Systems,Advances in Automation VII,,,,10.1007/978-3-032-14742-4_45,A. A. SelivanovD. V. ZhevnerchukA. D. SurkovA. S. Surkova,2026,https://link.springer.com/chapter/10.1007/978-3-032-14742-4_45,Conference paper
