"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Providing Full Semantic Interoperability for the Fast Healthcare Interoperability Resources Schemas with Resource Description Framework","M. P. Luz; J. Rocha de Matos Nogueira; L. T. Cavalini; T. W. Cook","Medical Sciences College, Rio de Janeiro State University, Rio de Janeiro, Brazil; MLHIM Technol. Dev. Unit, Universidade do Estado do Rio de Janeiro, Rio de Janeiro, RJ, BR; Department of Healthcare Information Technology, Rio de Janeiro State University, Rio de Janeiro, Brazil; Emergent Group for Research and Innovation on Healthcare Information Technology, Rio de Janeiro State University, Rio de Janeiro, Brazil",2015 International Conference on Healthcare Informatics,"10 Dec 2015","2015","","","463","466","The Fast Healthcare Interoperability Resources (FHIR) is an open suite of specifications and software implementations of the Health Level 7 version 3 (HL7v3) standard. It has been proposed to provide a consistent API for the HL7v3 CDA. However, the core issues of HL7v3 are not solved at the API level. The community around the project are proposing the adoption of RDF technologies to overcome the current challenges in interoperating with linked data. However, RDF triples nor ontologies provide semantic interoperability by themselves, a more robust information infrastructure, such as the Multilevel Model-Driven (MMD) approach, is required. An XML implementation of the MMD was used to model the FHIR Schemas as Domain Models (DMs) against a generic Reference Model (RM) to provide syntactic validation. RDF triples were included in the domain models to provide missing semantics. The XML data instances were validated against their Domain Models. The DMs do not create any new types, they only express constraints of the RM types, this provides consistent query and data analysis capability across all DMs. RDF triples were extracted from the DMs and added to a triple store graph with the RM ontology. The XML data is also expressed as Literals in the graph. This study shows the feasibility of using MMD solutions to provide full operational semantic interoperability for the FHIR ecosystem.","","978-1-4673-9548-9","10.1109/ICHI.2015.74","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7349736","Health information systems;Information exchange;Health Level 7","Semantics;Medical services;Resource description framework;XML;Interoperability;Data models;Charge coupled devices","","14","","12","IEEE","10 Dec 2015","21-23 Oct. 2015","21-23 Oct. 2015","IEEE","IEEE Conferences"
"Ontology-based Semantic Annotation for Semantic Interoperability of Process Models","Yun Lin; Hao Ding","Norwegian University of Science and Technology, Norway; Norwegian University of Science and Technology, Norway","International Conference on Computational Intelligence for Modelling, Control and Automation and International Conference on Intelligent Agents, Web Technologies and Internet Commerce (CIMCA-IAWTIC'06)","22 May 2006","2005","1","","162","167","The knowledge carried by process models can be reused to guide modeling in a new project, to manage process models or to interoperate with other processes. In order to efficiently discover such knowledge from distributed model repositories, we have to deal with semantic interoperability problems due to heterogeneity of process models. In this paper, process models are semi-automatically annotated based on a process ontology and domain ontology to target the semantic interoperability issue in process models discovery.","","0-7695-2504-0","10.1109/CIMCA.2005.1631259","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1631259","","Ontologies;Knowledge management;Project management;Technology management;Computer architecture;Software systems;Unified modeling language;Terminology;Data structures;Computational intelligence","","9","","9","IEEE","22 May 2006","28-30 Nov. 2005","28-30 Nov. 2005","IEEE","IEEE Conferences"
"Agent Based Semantic Interoperability between Agents and Semantic Web Languages","S. Iftikhar; H. F. Ahmad; H. Suguri","NUST Institute of Information and Technology, Rawalpindi, Pakistan; NUST Institute of Information and Technology, Rawalpindi, Pakistan; Communication Technologies, Aoba, Japan",22nd International Conference on Advanced Information Networking and Applications - Workshops (aina workshops 2008),"3 Apr 2008","2008","","","1660","1665","The flourishing idea of semantic Web is realized as extension of the World Wide Web infrastructure. The WWW has rehabilitated interest in semantic interoperability between various semantic languages. Semantic languages like OWL, WSML and FIPA SL formalize WWW into machine process able and understandable, by their ability to represent machine interpretable contents on the Web. These semantic description languages differ in syntax and semantic representation, resulting in mismatches that hamper semantic information exchange and interoperability for cross service utilization among the resulting information systems. In this paper we propose agent based technique to facilitate translation among heterogeneous contents while preserving the semantics. We propose the architecture to realize the system in a middleware that enables agent based dynamic semantic interoperability between FIPA compliant software agents and semantic Web languages including OWL and WSML. We have developed a prototype application through which a software agent communicate and use a Web service published in OWL or WSML and vice versa.","","978-0-7695-3096-3","10.1109/WAINA.2008.225","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4483159","","Semantic Web;OWL;World Wide Web;Software agents;Web sites;Information systems;Computer architecture;Service oriented architecture;Middleware;Software prototyping","","2","","19","IEEE","3 Apr 2008","25-28 March 2008","25-28 March 2008","IEEE","IEEE Conferences"
"Semantic interoperability in the securities industry: context interchange mediation of semantic differences in enumerated data types","A. Moulton; S. E. Madnick; M. D. Siegel","MIT Sloan School of Management, USA; MIT Sloan School of Management, USA; MIT Sloan School of Management, USA",Proceedings. 13th International Workshop on Database and Expert Systems Applications,"10 Dec 2002","2002","","","883","888","Using securities industry examples, the context interchange mediation knowledge architecture is applied to interoperability problems for enumerated data types, such as codes and other symbols used to represent conceptual distinctions. Ongoing efforts in the securities industry to develop new XML-based standards for information interchange are examined. Using components representing similar securities information, drawn from different but complementary securities standards and sources, example problems of information interoperability are examined. We show that transforming data representation into an autonomously specified context model and thence into a general domain ontology allows successful interoperability in several ways depending on how each context is explained to the mediator.","1529-4188","0-7695-1668-8","10.1109/DEXA.2002.1046007","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1046007","","Mediation;Data security;Information security;ISO standards;Protocols;XML;Electronics industry;Standards development;Industrial electronics;Databases","","2","","22","IEEE","10 Dec 2002","6-6 Sept. 2002","6-6 Sept. 2002","IEEE","IEEE Conferences"
"Using Ontologies to Achieve Semantic Interoperability in the Web: An Approach Based on the Semantic Triangle Model","A. Chianese; A. Fasolino; V. Moscato; P. Tramontana","Dipartimento di Informatica e Sistemistica, University of Naples, Naples, Italy; Dipartimento di Informatica e Sistemistica, University of Naples, Naples, Italy; Dipartimento di Informatica e Sistemistica, University of Naples, Naples, Italy; Dipartimento di Informatica e Sistemistica, University of Naples, Naples, Italy",2009 Ninth International Conference on Intelligent Systems Design and Applications,"28 Dec 2009","2009","","","884","889","In this paper, we propose an architecture that, exploiting the Semantic Web technologies, has the objective of allowing semantic interoperability among software agents in the Web. Such an architecture takes advantage by the Semantic Triangle model in which communication agents share the referents (real world objects) and not the references (mental image of a real object of the sender agent), thus ensuring an effective semantic interoperability in the information exchange process. We have carried a case study in order to assess the appropriateness and the feasibility of the process for the semantic information exchange by realizing and testing an instantiation of the related architecture.","2164-7151","978-1-4244-4735-0","10.1109/ISDA.2009.82","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5364087","","Ontologies;Semantic Web;Computer architecture;Software agents;Intelligent systems;Intelligent agent;Service oriented architecture;Testing;IP networks;Large-scale systems","","2","","11","IEEE","28 Dec 2009","30 Nov.-2 Dec. 2009","30 Nov.-2 Dec. 2009","IEEE","IEEE Conferences"
"Reaching Semantic Interoperability through Semantic Association of Domain Standards","H. -J. Chu; R. Y. C. Chow","Computer and Information Science and Engineering, University of Florida, Gainesville, FL, USA; Computer and Information Science and Engineering, University of Florida, Gainesville, FL, USA",11th IEEE International Workshop on Future Trends of Distributed Computing Systems (FTDCS'07),"2 Apr 2007","2007","","","15","20","The vision of semantic interoperability has led much research on ontology matching. Research in this area primarily focuses on discovering similarity between entities of ontologies. The performance of proposed approaches relies on the existence of such similarity relationship and sufficient data for inferring it. However, in reality, many distributed systems do not have such presumptions. This paper addresses this challenge by associating the entities through affinity semantic (to what degree they are related in their application context). Through the analysis of a motivating example in building construction industry, this paper formally defines semantic association based on multiple-perspective domain standards. This paper hypothesizes that the establishment and the use of such standards can practically serve as a framework for reaching semantic interoperability between autonomous information systems. This paper also shows that such framework has the potential to make revolutionary impacts on workflow automation, information retrieval, and ontology matching research areas","1071-0485","0-7695-2810-4","10.1109/FTDCS.2007.29","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4144609","","Ontologies;Buildings;Information systems;Construction industry;Automation;Information retrieval;Taxonomy;Computer vision;Information science;Humans","","1","","21","IEEE","2 Apr 2007","21-23 March 2007","21-23 March 2007","IEEE","IEEE Conferences"
"Semantic MediaWiki interoperability framework from a semantic social software perspective","C. Veja; M. Giurgiu; G. Hagedorn; G. Weber","Department of Telecommunications, Technical University of Cluj Napoca, Cluj-Napoca, Romania; Department of Telecommunications, Technical University of Cluj Napoca, Cluj-Napoca, Romania; Julius Kühn Institute, Institute of Epidemiology and Pathogen Diagnostics, Berlin, Germany; Julius Kühn Institute, Institute of Epidemiology and Pathogen Diagnostics, Berlin, Germany",2010 9th International Symposium on Electronics and Telecommunications,"6 Jan 2011","2010","","","403","406","This paper presents two collaborative Social-Software-driven approaches for the interoperability of multimedia resources used in KeyToNature project. The first approach, using MediaWiki as a low level interoperability framework is presented in our previous works. The second one, Semantic MediaWiki interoperability framework for multimedia resources is presented in this paper, and is still in progress. We are arguing that different approaches are needed, depending on the context and intention of multimedia resource use.","","978-1-4244-8460-7","10.1109/ISETC.2010.5679307","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5679307","KeyToNature;MediaWiki framework;interoperability;metadata repository;Semantic MediaWiki;Semantic Social Software;templates;workflow management","Semantics;Information services;Electronic publishing;Software;Collaboration;Semantic Web","","","","13","IEEE","6 Jan 2011","11-12 Nov. 2010","11-12 Nov. 2010","IEEE","IEEE Conferences"
"Semantic Gateway as a Service Architecture for IoT Interoperability","P. Desai; A. Sheth; P. Anantharam","SeerLabs; Ohio Center of Excellence in Knowledge-enabled Computing (Kno.e.sis), Wright State University, Dayton, OH; Ohio Center of Excellence in Knowledge-enabled Computing (Kno.e.sis), Wright State University, Dayton, OH",2015 IEEE International Conference on Mobile Services,"27 Aug 2015","2015","","","313","319","The Internet of Things (IoT) is set to occupy a substantial component of future Internet. The IoT connects sensors and devices that record physical observations to applications and services of the Internet[1]. As a successor to technologies such as RFID and Wireless Sensor Networks (WSN), the IoT has stumbled into vertical silos of proprietary systems, providing little or no interoperability with similar systems. As the IoT represents future state of the Internet, an intelligent and scalable architecture is required to provide connectivity between these silos, enabling discovery of physical sensors and interpretation of messages between the things. This paper proposes a gateway and Semantic Web enabled IoT architecture to provide interoperability between systems, which utilizes established communication and data standards. The Semantic Gateway as Service (SGS) allows translation between messaging protocols such as XMPP, CoAP and MQTT via a multi-protocol proxy architecture. Utilization of broadly accepted specifications such as W3Cs Semantic Sensor Network (SSN) ontology for semantic annotations of sensor data provide semantic interoperability between messages and support semantic reasoning to obtain higher-level actionable knowledge from low-level sensor data.","2329-6453","978-1-4673-7284-8","10.1109/MobServ.2015.51","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7226706","Internet of Things (IoT);Semantic Gateway as Service (SGS);Semantic Sensor Network (SSN);CoAP;MQTT","Sensors;Semantics;Protocols;Logic gates;Interoperability;Standards;Ontologies","","208","3","24","IEEE","27 Aug 2015","27 June-2 July 2015","27 June-2 July 2015","IEEE","IEEE Conferences"
"Towards Formal-Based Semantic Interoperability in Multi-Clouds: The FCLOUDS Framework","S. Challita; F. Paraiso; P. Merle","CRIStAL, University of Lille, France; CRIStAL, University of Lille, France; CRIStAL, University of Lille, France",2017 IEEE 10th International Conference on Cloud Computing (CLOUD),"11 Sep 2017","2017","","","710","713","Multi-cloud computing has been proposed as a way to reduce vendor lock-in, to improve resiliency during outages and geo-presence, to boost performance and to lower costs. However, semantic differences between cloud providers, as well as their heterogeneous management interfaces, make changing from one provider to another very complex and costly. This is quite challenging for the implementation of multi-cloud systems. In this paper, we aim to take advantage of formal methods to define a precise semantics for multi-clouds. We propose fclouds, a formal-based framework for semantic interoperability in multi-clouds. This framework contains a catalogue of formal models that mathematically describe cloud APIs and reason over them. A precise alignment can be described between their concepts, which promotes semantic interoperability.","2159-6190","978-1-5386-1993-3","10.1109/CLOUD.2017.98","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8030656","Multi-Clouds;Interoperability;Formal Language;Formal Verification","Cloud computing;Semantics;Interoperability;Computational modeling;Virtual machining;Programming;Libraries","","18","","12","IEEE","11 Sep 2017","25-30 June 2017","25-30 June 2017","IEEE","IEEE Conferences"
"Semantic-enhanced living labs for better interoperability of smart cities solutions","N. Villanueva-Rosales; L. Garnica-Chavira; V. M. Larios; L. Gómez; E. Aceves","Department of Computer Science, Cyber-ShARE Center The University of Texas at El Paso, El Paso, Texas, USA; Department of Computer Science, Cyber-ShARE Center The University of Texas at El Paso, El Paso, Texas, USA; Smart Cities Innovation Center, CUCEA University of Guadalajara, Zapopan, Mexico; Smart Cities Innovation Center, CUCEA University of Guadalajara, Zapopan, Mexico; Smart Cities Innovation Center, CUCEA University of Guadalajara, Zapopan, Mexico",2016 IEEE International Smart Cities Conference (ISC2),"3 Oct 2016","2016","","","1","2","The Institute of Electrical and Electronics Engineers defines a smart city as a city that brings together technology, government and society to enable the following characteristics: smart economy, smart mobility, smart environment, smart people, smart living, and smart governance1. This and other definitions for smart cities emphasize the need for interoperability between systems. Interoperabilty between systems is highly influenced by the ability of sharing and exchanging data across different tools and platforms. Living labs aim to support an agile development and implementation of technology to accelerate innovation in cities [1]. The University of Guadalajara (UDG) Living Lab aims to provide fast prototyping of Internet of Things (IoT) devices, open data repositories based in open standards, data analytics and visualization tools to support the development of smart cities solutions. UDG Living Lab was designed with the following principles: scalability, interoperability, modularity, resilience, and security [2]. In this paper, we describe our initial efforts in annotating and sharing data generated by the UDG Living Lab for its reuse in Smart Cities applications. This work is part of the activities of the International Interdisciplinary Consortium for Smart Cities created in 2015 by researchers at The University of Texas at El Paso (UTEP, US), Universidad de Guadalajara (UDG, Mexico), and Czech Technical University (CTU, Czech Republic) [3].","","978-1-5090-1846-8","10.1109/ISC2.2016.7580775","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7580775","","Smart cities;Vocabulary;Internet of things;Semantics;Interoperability;Standards;Ontologies","","15","","5","IEEE","3 Oct 2016","12-15 Sept. 2016","12-15 Sept. 2016","IEEE","IEEE Conferences"
"A Semantic Interoperability Approach to Heterogeneous Internet of Medical Things (IoMT) Platforms","I. Villanueva-Miranda; H. Nazeran; R. Martinek","Computer Science Department, University of Texas at El Paso, El Paso, Texas; Department of Electrical and Computer Engineering, University of Texas at El Paso, El Paso, Texas; Faculty of Electrical Engineering and Computer Science, VSB - Technical University of Ostrava, Ostrava, Czech Republic","2018 IEEE 20th International Conference on e-Health Networking, Applications and Services (Healthcom)","11 Nov 2018","2018","","","1","5","The Internet of Medical Things (IoMT) is a collection of medical devices and software applications used to interconnect local or remote healthcare systems. In this paper, we present a formal review of research related to the use of Semantic Web to solve IoMT interoperability problems. The use of IoMT promotes personalized health and wellness as well as higher standards of care using individualized data-driven treatments. It is estimated that there will be a significant increase in the utilization of IoMT platforms in the future. The large number of isolated platforms will pose an interoperability issue when a treatment requires the use of two or more IoMT platforms. One approach to address this problem is through the use of Semantic Web technologies that add semantics to IoMT using one-to-one ontology alignment and central ontology approaches.","","978-1-5386-4294-8","10.1109/HealthCom.2018.8531103","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8531103","Health Devices;Health Care;Wellness Monitoring;Internet of Medical Things (IoMT);Interoperability Issues;Internet of Things (IoT) Platforms","Ontologies;Interoperability;Semantics;Medical services;Internet of Things;Sensors;Measurement","","15","","22","IEEE","11 Nov 2018","17-20 Sept. 2018","17-20 Sept. 2018","IEEE","IEEE Conferences"
"Towards semantic interoperability in an open IoT ecosystem for connected vehicle services","N. Kolbe; S. Kubler; J. Robert; Y. Le Traon; A. Zaslavsky","Interdisciplinary Center for Security Reliability and Trust, University of Luxembourg, Luxembourg, Luxembourg; Interdisciplinary Center for Security Reliability and Trust, University of Luxembourg, Luxembourg, Luxembourg; Interdisciplinary Center for Security Reliability and Trust, University of Luxembourg, Luxembourg, Luxembourg; Interdisciplinary Center for Security Reliability and Trust, University of Luxembourg, Luxembourg, Luxembourg; CSIRO, Data61, Clayton, Australia",2017 Global Internet of Things Summit (GIoTS),"24 Aug 2017","2017","","","1","5","A present challenge in today's Internet of Things (IoT) ecosystem is to enable interoperability across heterogeneous systems and service providers. Restricted access to data sources and services limits the capabilities of a smart city to improve social, environmental and economic aspects. Interoperability in the IoT is concerned with both, messaging interfaces and semantic understanding of heterogeneous data. In this paper, the first building blocks of an emerging open IoT ecosystem developed at the EU level are presented. Semantic web technologies are applied to the existing messaging components to support and improve semantic interoperability. The approach is demonstrated with a proof-of-concept for connected vehicle services in a smart city setting.","","978-1-5090-5873-0","10.1109/GIOTS.2017.8016229","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8016229","Semantic Web of Things;Interoperability;Smart Ecosystem;Connected Vehicle","Ecosystems;Semantics;Vocabulary;Interoperability;Standards;Resource description framework","","12","","15","IEEE","24 Aug 2017","6-9 June 2017","6-9 June 2017","IEEE","IEEE Conferences"
"OWL-based approach for semantic interoperability","S. Suwanmanee; D. Benslimane; P. Thiran","LIRIS Laboratory, University of Lyon I, Villeurbanne, France; LIRIS Laboratory, University of Lyon I, Villeurbanne, France; AIS Group, Computer Science Department, Eindhovan University of Technology, Netherlands",19th International Conference on Advanced Information Networking and Applications (AINA'05) Volume 1 (AINA papers),"25 Apr 2005","2005","1","","145","150 vol.1","The number of Web-based information systems has been increasing since Internet became the global open network accessible for all. The recent semantic Web that provides supplementary meaningful information (meta-data) about Web resources facilitates automatic processing of machines and interoperability between different systems. In this paper, we focus on an integration of heterogeneous data sources in the semantic Web context using a semantic mediation approach based on ontology. We use the ontology description language OWL to formalize ontologies of different resources and to describe their relations and correspondences allowing the semantic interoperability between them. We propose an architecture adopting mediator-wrapper approach for a mediator based on OWL. Some illustrations of semantic mediation using OWL are also presented in the paper.","2332-5658","0-7695-2249-1","10.1109/AINA.2005.271","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1423484","","OWL;Ontologies;Mediation;Resource description framework;Information systems;Semantic Web;Web pages;Internet;XML;Laboratories","","11","","14","IEEE","25 Apr 2005","28-30 March 2005","28-30 March 2005","IEEE","IEEE Conferences"
"An ontology-based framework for managing semantic interoperability issues in e-health","P. Ganguly; S. Chattopadhyay; N. Paramesh; P. Ray","School of Computer Science and Enginneering, Australia; Technology and Management, Australian school of Business, University of New South Wales, Sydney, NSW, Australia; School of Computer Science and Enginneering, Australia; Technology and Management, Australian school of Business, University of New South Wales, Sydney, NSW, Australia","HealthCom 2008 - 10th International Conference on e-health Networking, Applications and Services","15 Aug 2008","2008","","","73","78","Ontology-based approaches may be tried in e-health scenario to solve some of the interoperability problems that are non-trivial, for e.g. Anemometerpsila and dasiaSphygmomanometerpsila are two different terms but represent the blood pressure monitor in Europe and India, respectively. The semantic interoperability issue arises when similar things are meant differently to the remotely sitting agents. Given such scenario, this paper aims to describe a framework that combines A) dialogue game with B) a decision support system (DSS) leading to resolution of such types of ontological mismatches. Under dasiaDialogue gamepsila argumentation mechanisms are used for resolving certain types of ontological mismatches. While, the DSS decides on the initiation, termination, structuring and sequencing the dialogues, as these may not be properly adjudged by the dasiaDialogue gamepsila. The framework is therefore context driven in nature, where concepts can be substituted with the similar kind of concepts (may not be accurate by searching and choosing equivalent concepts. Such framework therefore offers potential for dynamic modification of participating Ontologies and provides explanation in context of diet management in diabetes with time in a more matured way.","","978-1-4244-2280-7","10.1109/HEALTH.2008.4600114","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4600114","Semantic interoperability;Framework;e-Health;Ontology;DSS;Dialogue","","","10","","9","IEEE","15 Aug 2008","7-9 July 2008","7-9 July 2008","IEEE","IEEE Conferences"
"Dynamic semantic interoperability of control in IoT-based systems: Need for adaptive middleware","S. K. Mohalik; N. C. Narendra; R. Badrinath; M. B. Jayaraman; C. Padala","Ericsson Research, Bangalore, India; Ericsson Research, Bangalore, India; Ericsson Research, Bangalore, India; Ericsson Research, Bangalore, India; Ericsson Research, Bangalore, India",2016 IEEE 3rd World Forum on Internet of Things (WF-IoT),"9 Feb 2017","2016","","","199","203","The Internet of Things (IoT) phenomenon is giving rise to large scale IoT deployments comprising thousands of IoT devices with large degree of heterogeneity. The heterogeneity is further aggravated by dynamism-new applications and requirements, changes in capabilities of devices during their life-cycle and mobility of devices and applications. This is leading to semantic interoperability issues among these devices, which is hindering the ability of system designers to draw the maximum value from these deployments. To address this problem, we present InteropAdapt, an adaptive middleware that can maintain seamless semantic interoperability across dynamic events. The central aim of this paper is to exhibit different architectural elements of InteropAdapt in some detail. We also illustrate InteropAdapt via a simple yet realistic example in the smart office automation domain.","","978-1-5090-4130-5","10.1109/WF-IoT.2016.7845399","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7845399","","Interoperability;Internet of Things;Middleware;Sensors;Semantics;Switches;Protocols;Ontologies;Standards;Smoke detectors","","10","","29","IEEE","9 Feb 2017","12-14 Dec. 2016","12-14 Dec. 2016","IEEE","IEEE Conferences"
"Model Driven Service Interoperability through Use of Semantic Annotations","A. -J. Berre; F. Liu; J. Xu; B. Elvesaeter","SINTEF ICT, Norway; KTH, Sweden; SINTEF ICT, Norway; SINTEF ICT, Norway",2009 International Conference on Interoperability for Enterprise Software and Applications China,"25 Sep 2009","2009","","","90","96","This paper presents an approach for comparing two architectures for ontology-based semantic annotation for service interoperability, the EMPOWER architecture using platform specific XML-based technologies and the MEMPOWER architecture extending this with platform independent model driven architecture (MDA) based technologies. We will compare the two architectures with respect to pilot requirements and experienced advantages and challenges for model driven systems. The two approaches are being evaluated based on examples from interoperability between ERP-systems in a Buyer/Seller interaction context.","","978-0-7695-3652-1","10.1109/I-ESA.2009.58","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5260862","Model Driven interoperability;Service interoperability;Semantic annotation","Ontologies;Application software;Computer architecture;Standardization;Web and internet services;Engineering management;Model driven engineering;Collaboration;Fusion power generation;Publishing","","9","","13","IEEE","25 Sep 2009","21-22 April 2009","21-22 April 2009","IEEE","IEEE Conferences"
"Semantic Mediation Bus: An Ontology-based Runtime Infrastructure for Service Interoperability","W. Zhu","Alion Science and Technology, Vienna, VA, USA",2012 IEEE 16th International Enterprise Distributed Object Computing Conference Workshops,"10 Jan 2013","2012","","","140","145","In this industry case study, we introduce the concept of semantic mediation that enables service interoperability through common ontologies, even when the services are implemented using different data models and message standards. Leveraging open standards such as Web Ontology Language (OWL) and Semantic Annotations for XML Schema and WSDL (SAWSDL), the Semantic Mediation Bus (SMB) removes the need to perform manual correlation among disparate data sources by extending the Enterprise Service Bus (ESB) infrastructure for ontology-based runtime service mediation.","2325-6605","978-1-4673-5005-1","10.1109/EDOCW.2012.27","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6406219","Semantic Web;Service Oriented Architecture;Enterprise Service Bus;Service Service Provisioning;SAWSDL","Conferences","","8","","17","IEEE","10 Jan 2013","10-14 Sept. 2012","10-14 Sept. 2012","IEEE","IEEE Conferences"
