"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Editors","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Sohi, S.","Sohi, Shahrom Hosseini (58679641800)","58679641800","Semantic Technologies for Harmonising European Railway: Improving Interoperability, Data Integration, and Operational Efficiency","2026","Lecture Notes in Computer Science","15832 LNCS","","","195","204","0","10.1007/978-3-031-99554-5_34","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020239740&doi=10.1007%2F978-3-031-99554-5_34&partnerID=40&md5=ce9da26c6197eaa3e6dfe8a6de0fce67","Curry, E.; McCrae, J.; Presutti, V.; Alam, M.; Colpaert, P.; Xavier Parreira, J.; Collarana, D.; Sabou, M.; Harth, A.; Lisena, P.","Springer Science and Business Media Deutschland GmbH","Conference paper","Final","","Scopus","2-s2.0-105020239740"
"Pourvahab, M.; Monteiro, A.; Pais, S.; Pombo, N.","Pourvahab, Mehran (57214235740); Monteiro, Anilson (59500147900); Pais, Sebastião (35103248500); Pombo, Nuno Gonçalo Coelho Costa (55389546100)","57214235740; 59500147900; 35103248500; 55389546100","A Unified Semantic Framework for IoT-Healthcare Data Interoperability: A Graph-Based Machine Learning Approach Using RDF and R2RML","2025","","","","","864","873","0","10.1145/3756681.3757054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026955351&doi=10.1145%2F3756681.3757054&partnerID=40&md5=26c3996467c26b83dce4f9a94dde976c","Babar, M.A.; Tosun, A.; Wagner, S.; Stray, V.","Association for Computing Machinery, Inc","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105026955351"
"Vogt, L.; Strömert, P.; Matentzoglu, N.; Karam, N.; Konrad, M.; Prinz, M.; Baum, R.","Vogt, Lars (7006696833); Strömert, Philip (57567348200); Matentzoglu, Nicolas A. (55995233100); Karam, Naouel (55571630200); Konrad, Marcel (58244859800); Prinz, Manuel (59569120100); Baum, Roman (57205350639)","7006696833; 57567348200; 55995233100; 55571630200; 58244859800; 59569120100; 57205350639","Suggestions for extending the FAIR Principles based on a linguistic perspective on semantic interoperability","2025","Scientific Data","12","1","688","","","2","10.1038/s41597-025-05011-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003439572&doi=10.1038%2Fs41597-025-05011-x&partnerID=40&md5=a6c1a7d1da7dd85fc48044562c104264","","Nature Research","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105003439572"
"Ranpara, R.","Ranpara, Ripal D. (57204835043)","57204835043","A semantic and ontology-based framework for enhancing interoperability and automation in IoT systems","2025","Discover Internet of Things","5","1","22","","","5","10.1007/s43926-025-00122-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000028270&doi=10.1007%2Fs43926-025-00122-8&partnerID=40&md5=f863018a657015c59ad6d0aac8803d3b","","Springer Nature","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105000028270"
"Boroukhian, T.; Supyen, K.; McLaughlan, C.W.; Bashyal, A.; Pham, T.; Wicaksono, H.","Boroukhian, Tina (58904323700); Supyen, Kritkorn (58904179200); McLaughlan, Christopher William (58904217800); Bashyal, Atit (58904217900); Pham, Tuan Anh (58904289400); Wicaksono, H. A. (36447071900)","58904323700; 58904179200; 58904217800; 58904217900; 58904289400; 36447071900","Semantic middleware for demand response systems: Enhancing data interoperability in green electricity management for manufacturing","2025","Computers in Industry","172","","104354","","","1","10.1016/j.compind.2025.104354","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014246102&doi=10.1016%2Fj.compind.2025.104354&partnerID=40&md5=fa7d619fae615cbce024605c0ed1524b","","Elsevier B.V.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105014246102"
"Asadollahi, H.; El Meouche, R.E.; Zheng, Z.; Eslahi, M.; Farazdaghi, E.","Asadollahi, Hamed (59495994400); El Meouche, Rani (41961023000); Zheng, Zhiyu (58759058300); Eslahi, Mojtaba (57193666092); Farazdaghi, Elham (57193155616)","59495994400; 41961023000; 58759058300; 57193666092; 57193155616","Bridging building information systems: A parameter-efficient semantic approach to construction data interoperability","2025","Engineering Applications of Artificial Intelligence","155","","110680","","","1","10.1016/j.engappai.2025.110680","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004640915&doi=10.1016%2Fj.engappai.2025.110680&partnerID=40&md5=194b6fab705a57f3e91495046887f12d","","Elsevier Ltd","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105004640915"
"Rosić, M.; Sumić, D.; Maleš, L.","Rosić, Marko (23398416000); Sumić, Dean (35196948400); Maleš, Lada (6505627114)","23398416000; 35196948400; 6505627114","Semantic Interoperability of Multi-Agent Systems in Autonomous Maritime Domains","2025","Electronics (Switzerland)","14","13","2630","","","0","10.3390/electronics14132630","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010334413&doi=10.3390%2Felectronics14132630&partnerID=40&md5=ed8acad87ce979114766d11573d3d10d","","Multidisciplinary Digital Publishing Institute (MDPI)","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105010334413"
"Patrício, H.S.; Ramos, P.N.; Cordeiro, M.I.","Patrício, Helena Simões (57207623580); Ramos, Pedro Nogueira (7103233226); Cordeiro, Maria Inês (56013061600)","57207623580; 7103233226; 56013061600","Weaving the Threads of Bibliographic Ontologies Application of a Reference Ontology to Advance Semantic Interoperability","2025","Information Technology and Libraries","44","2","","","","1","10.5860/ital.v44i2.17289","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008370374&doi=10.5860%2Fital.v44i2.17289&partnerID=40&md5=6ab35f00754398fd50889e70e26f5fd6","","American Library Association","Article","Final","All Open Access; Gold Open Access; Green Final Open Access; Green Open Access","Scopus","2-s2.0-105008370374"
"Bousdekis, A.","Bousdekis, Alexandros (56543697100)","56543697100","The semantic asset administration shell: Ontology modelling of digital twins for sustainable interoperability in Industry 4.0","2025","Intelligent Decision Technologies","19","3","","1783","1806","0","10.1177/18724981241307640","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013870986&doi=10.1177%2F18724981241307640&partnerID=40&md5=b61e49c024ef55f0a7400197aa771f3b","","SAGE Publications Ltd","Article","Final","","Scopus","2-s2.0-105013870986"
"Thalhath, N.; Nagamori, M.; Sakaguchi, T.","Thalhath, Nishad (57212268719); Nagamori, Mitsuharu (23398043300); Sakaguchi, Tetsuo (7202935699)","57212268719; 23398043300; 7202935699","Metadata application proﬁle as a mechanism for semantic interoperability in FAIR and open data publishing","2025","Data and Information Management","9","1","100068","","","4","10.1016/j.dim.2024.100068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000426833&doi=10.1016%2Fj.dim.2024.100068&partnerID=40&md5=e18add50de1b0a170304990a253db72e","","Elsevier Ltd","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-86000426833"
"Marfoglia, A.; Nardini, F.; Arcobelli, V.A.; Moscato, S.; Mellone, S.; Carbonaro, A.","Marfoglia, Alberto (58773065300); Nardini, Filippo (58772873300); Arcobelli, Valerio Antonio (58199668000); Moscato, Serena (57295738000); Mellone, Sabato (35787194500); Carbonaro, Antonella (57211468869)","58773065300; 58772873300; 58199668000; 57295738000; 35787194500; 57211468869","Towards real-world clinical data standardization: A modular FHIR-driven transformation pipeline to enhance semantic interoperability in healthcare","2025","Computers in Biology and Medicine","187","","109745","","","9","10.1016/j.compbiomed.2025.109745","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216660975&doi=10.1016%2Fj.compbiomed.2025.109745&partnerID=40&md5=807609d6abb307588234d7b3634e32c1","","Elsevier Ltd","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85216660975"
"Laaz, N.; Benaddi, H.","Laaz, Naziha (57189024533); Benaddi, Hanane (57452446900)","57189024533; 57452446900","A common vocabulary for semantic interoperability of Moroccan e-government services","2025","Bulletin of Electrical Engineering and Informatics","14","1","","656","664","0","10.11591/eei.v14i1.7450","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210494610&doi=10.11591%2Feei.v14i1.7450&partnerID=40&md5=5015bed5770b1b54ef169722b002bcef","","Institute of Advanced Engineering and Science","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85210494610"
